per_dem,per_gop,Geography
0.41850396479900004,0.527008478631,"Sleepy Eye, Minnesota"
0.5690476190479999,0.34404761904799996,"Cecil, Georgia"
0.0363636363636,0.952727272727,"Rosholt, South Dakota"
0.25684227179200003,0.701629489005,"Wilkinson, Indiana"
0.37733151155,0.569158908201,"Maynard, Minnesota"
0.146700390894,0.799494136583,"Hartman, Arkansas"
0.168865435356,0.784520668426,"Moundridge, Kansas"
0.226772220223,0.716228859302,"Scottsbluff, Nebraska"
0.42220540674999996,0.516450369019,"Dawson, Illinois"
0.611264385885,0.34885146053599997,"Dawson, Iowa"
0.326217945724,0.622238310991,"Neosho, Wisconsin"
0.237954568605,0.739805099997,"Locust, North Carolina"
0.19788560585499998,0.7489834643529999,"Altamont, Missouri"
0.191345503719,0.7738336714,"Penney Farms, Florida"
0.207532483085,0.772169331178,"Larrabee, Iowa"
0.22220275243,0.736712989796,"Colorado City, Arizona"
0.157036300348,0.8196916956739999,"Donahue, Iowa"
0.322996135936,0.63766967205,"Antigo, Wisconsin"
0.318982530517,0.597233389372,"Robins, Iowa"
0.421728739295,0.554570802629,"Slaughter, Louisiana"
0.49548989113499997,0.47844479004699997,"Loxley, Alabama"
0.35151818485200004,0.611945278612,"New Brunswick, New Jersey"
0.67217630854,0.303227075954,"Raymondville, Texas"
0.178146258503,0.762329931973,"Ossian, Indiana"
0.37715947248000004,0.528870018006,"Clark's Point, Alaska"
0.17511520737300001,0.7768817204299999,"Anniston, Alabama"
0.221087533156,0.734549071618,"Loa, Utah"
0.131578947368,0.80721600381,"Agra, Oklahoma"
0.585567433683,0.348695045837,"Isleton, California"
0.380829770696,0.551787796347,"Sullivan, Missouri"
0.46879025647,0.45567396650700004,"Takoma Park, Maryland"
0.611264385885,0.34885146053599997,"Buffalo, Missouri"
0.5651114137259999,0.41197136488499997,"Lake Worth, Florida"
0.521920294998,0.42413027758,"Rancho Cucamonga, California"
0.364871019834,0.599395470167,"Portal, Georgia"
0.25684227179200003,0.701629489005,"Corwith, Iowa"
0.6184640522879999,0.312908496732,"Lexington, Virginia"
0.187478849408,0.772927241963,"Fordland, Missouri"
0.31185414821400004,0.638101564807,"Loyal, Wisconsin"
0.41850396479900004,0.527008478631,"Claremont, South Dakota"
