city,stateAbbr,per_dem,per_gop
Murray City,OH,0.296731399345,0.66187165348
Downing,WI,0.409687230469,0.521448999047
Mount Holly,NC,0.326566320938,0.647894004554
Marine City,MI,0.202159827214,0.756155507559
Little Valley,NY,0.30099098788,0.644591001692
Stoughton,WI,0.713768627206,0.233879939225
Bay Springs,MS,0.193393753277,0.792300202232
Jersey City,NJ,0.744594762318,0.226461462083
Brandenburg,KY,0.191291627227,0.726357456329
Harpersville,AL,0.193672839506,0.790454144621
Buffalo Gap,TX,0.228224068944,0.723453370268
Charlottesville,VA,0.593169914847,0.342608757616
Caldwell,KS,0.255388294879,0.704909960608
Leona,KS,0.434285714286,0.479462759463
Greensburg,KS,0.21954714818,0.743192891946
Toquerville,UT,0.273509430003,0.678448705506
Portland,OR,0.759594367205,0.176248455677
Burkettsville,OH,0.204590078101,0.757537414372
Hankinson,ND,0.449258980156,0.505023863351
Versailles,MO,0.205370006549,0.748919449902
Lexington,SC,0.288461696312,0.655558200428
Dazey,ND,0.304016752332,0.600799543118
Leesburg,IN,0.197793587614,0.749334001943
Nome,TX,0.393968425876,0.547506977132
Winner,SD,0.17566539924,0.786692015209
Stryker,OH,0.253099539497,0.691108749557
Salem,WV,0.275405482991,0.670554040477
North Powder,OR,0.162798194713,0.809800128949
Bates City,MO,0.432517758485,0.523151802157
Alta Vista,KS,0.231437125749,0.705988023952
Atlantic Beach,NY,0.512509818244,0.45940041591
Lattimore,NC,0.354810383623,0.571401130564
Falfurrias,TX,0.746147919877,0.236132511556
Weatherby,MO,0.225648414986,0.74409221902
Leroy,TX,0.345613698805,0.616510127148
Atlantic Beach,NC,0.265608494271,0.710420108887
Fults,IL,0.192063492063,0.764902998236
Indian Wells,CA,0.496107441063,0.452762678244
Fairfield,TX,0.192034700315,0.787986330179
Moreauville,LA,0.303479886617,0.673240455944
Clatskanie,OR,0.461808993751,0.483490968689
Marco Island,FL,0.357414738571,0.617559602358
Ethan,SD,0.296151911469,0.648516096579
Tonkawa,OK,0.222328073831,0.724501339684
Wadley,AL,0.251849112426,0.701090976331
Cedar Creek,NE,0.193865242116,0.791142512494
Tieton,WA,0.393936879374,0.547575581556
Ashville,AL,0.202159827214,0.756155507559
Miami,MO,0.339937434828,0.594160583942
Plain City,OH,0.317565618691,0.637150274012
Lucas,KS,0.190897908979,0.780319803198
Hazel Green,WI,0.103134479272,0.877249747219
Morris,MN,0.448117453518,0.478908650712
Empire,CO,0.467281272596,0.438539407086
Nooksack,WA,0.548885172283,0.371889524408
Delmar,IA,0.305478805849,0.653750252712
Great Bend,ND,0.449258980156,0.505023863351
Mendon,MO,0.224129227663,0.744068652196
Madison,OH,0.317565618691,0.637150274012
Colfax,IA,0.193393753277,0.792300202232
Mendon,MI,0.316810435514,0.62638333684
Burton,TX,0.273509430003,0.678448705506
Phillipsburg,KS,0.146716348393,0.798789007918
Fulda,MN,0.196561085973,0.755294117647
Pinellas Park,FL,0.474704996745,0.485729980469
Erin,TN,0.238255841966,0.747410262587
Chula Vista,CA,0.560710165858,0.382352214351
New Cambria,MO,0.142990654206,0.835781041389
Hamler,OH,0.341212701319,0.632860293812
Hamilton,IN,0.13272374619,0.846771958991
Hamilton,IL,0.256842271792,0.701629489005
Altavista,VA,0.0738221354893,0.87973236688
New Summerfield,TX,0.207532483085,0.772169331178
District Heights,MD,0.893292622141,0.0834256645713
Orangeville,IL,0.385710627401,0.555441741357
Hamilton,IA,0.13272374619,0.846771958991
Placerville,ID,0.203830010493,0.701206715635
Quincy,OH,0.169062119367,0.80113682501
Poca,WV,0.255319148936,0.683614258082
Hallock,MN,0.348286077021,0.570884468895
Glenfield,ND,0.203649205415,0.728075338434
Grant,IA,0.46879025647,0.455673966507
Slick,OK,0.202667963593,0.748245674981
Silver City,IA,0.108132260947,0.870866845398
