,Geography,stateAbbr,stateFullName
172,"Five Points town, Alabama",AL, Alabama
173,"Flomaton town, Alabama",AL, Alabama
174,"Florala town, Alabama",AL, Alabama
175,"Florence city, Alabama",AL, Alabama
176,"Foley city, Alabama",AL, Alabama
178,"Forkland town, Alabama",AL, Alabama
179,"Fort Deposit town, Alabama",AL, Alabama
180,"Fort Payne city, Alabama",AL, Alabama
181,"Franklin town, Alabama",AL, Alabama
183,"Frisco City town, Alabama",AL, Alabama
185,"Fruithurst town, Alabama",AL, Alabama
186,"Fulton town, Alabama",AL, Alabama
187,"Fultondale city, Alabama",AL, Alabama
188,"Fyffe town, Alabama",AL, Alabama
189,"Gadsden city, Alabama",AL, Alabama
190,"Gainesville town, Alabama",AL, Alabama
192,"Gantt town, Alabama",AL, Alabama
193,"Garden City town, Alabama",AL, Alabama
194,"Gardendale city, Alabama",AL, Alabama
195,"Gaylesville town, Alabama",AL, Alabama
196,"Geiger town, Alabama",AL, Alabama
197,"Geneva city, Alabama",AL, Alabama
198,"Georgiana town, Alabama",AL, Alabama
199,"Geraldine town, Alabama",AL, Alabama
200,"Glen Allen town, Alabama",AL, Alabama
201,"Glencoe city, Alabama",AL, Alabama
202,"Glenwood town, Alabama",AL, Alabama
203,"Goldville town, Alabama",AL, Alabama
204,"Good Hope town, Alabama",AL, Alabama
205,"Goodwater town, Alabama",AL, Alabama
206,"Gordo town, Alabama",AL, Alabama
207,"Gordon town, Alabama",AL, Alabama
208,"Gordonville town, Alabama",AL, Alabama
209,"Goshen town, Alabama",AL, Alabama
212,"Grant town, Alabama",AL, Alabama
213,"Graysville city, Alabama",AL, Alabama
214,"Greensboro city, Alabama",AL, Alabama
215,"Greenville city, Alabama",AL, Alabama
216,"Grimes town, Alabama",AL, Alabama
217,"Grove Hill town, Alabama",AL, Alabama
218,"Guin city, Alabama",AL, Alabama
220,"Gulf Shores city, Alabama",AL, Alabama
221,"Guntersville city, Alabama",AL, Alabama
222,"Gurley town, Alabama",AL, Alabama
223,"Gu-Win town, Alabama",AL, Alabama
224,"Hackleburg town, Alabama",AL, Alabama
226,"Haleburg town, Alabama",AL, Alabama
227,"Haleyville city, Alabama",AL, Alabama
228,"Hamilton city, Alabama",AL, Alabama
229,"Hammondville town, Alabama",AL, Alabama
230,"Hanceville city, Alabama",AL, Alabama
231,"Harpersville town, Alabama",AL, Alabama
232,"Hartford city, Alabama",AL, Alabama
233,"Hartselle city, Alabama",AL, Alabama
236,"Hayden town, Alabama",AL, Alabama
237,"Hayneville town, Alabama",AL, Alabama
239,"Headland city, Alabama",AL, Alabama
240,"Heath town, Alabama",AL, Alabama
241,"Heflin city, Alabama",AL, Alabama
242,"Helena city, Alabama",AL, Alabama
