,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
8095,29500.0,"Worthington town, Indiana",39542.0
8096,106667.0,"Wynnedale town, Indiana",152982.0
8097,55000.0,"Yeoman town, Indiana",67485.0
8098,55398.0,"Yorktown town, Indiana",72541.0
8099,49444.0,"Zanesville town, Indiana",59033.0
8100,118190.0,"Zionsville town, Indiana",158653.0
8101,45761.0,"Ackley city, Iowa",59078.0
8102,49375.0,"Ackworth city, Iowa",104500.0
8103,45938.0,"Adair city, Iowa",52630.0
8104,58321.0,"Adel city, Iowa",74526.0
8105,45083.0,"Afton city, Iowa",51034.0
8106,39659.0,"Agency city, Iowa",49663.0
8107,44519.0,"Ainsworth city, Iowa",59861.0
8108,44615.0,"Akron city, Iowa",55714.0
8109,44063.0,"Albert City city, Iowa",52284.0
8110,40737.0,"Albia city, Iowa",51347.0
8111,52232.0,"Albion city, Iowa",56328.0
8112,69896.0,"Alburnett city, Iowa",77463.0
8113,44286.0,"Alden city, Iowa",53777.0
8114,35000.0,"Alexander city, Iowa",46992.0
8115,53388.0,"Algona city, Iowa",60929.0
8116,90833.0,"Alleman city, Iowa",105217.0
8117,37292.0,"Allerton city, Iowa",38663.0
8118,51790.0,"Allison city, Iowa",69866.0
8119,50677.0,"Alta city, Iowa",69822.0
8120,40909.0,"Alta Vista city, Iowa",47687.0
8121,64635.0,"Alton city, Iowa",71390.0
8122,72398.0,"Altoona city, Iowa",87748.0
8123,55833.0,"Alvord city, Iowa",62952.0
8124,63750.0,"Amana CDP, Iowa",77524.0
8125,41278.0,"Ames city, Iowa",59378.0
8126,38125.0,"Anamosa city, Iowa",46931.0
8127,,"Anderson CDP, Iowa",
8128,55000.0,"Andover city, Iowa",58873.0
8129,45938.0,"Andrew city, Iowa",51980.0
8130,40991.0,"Anita city, Iowa",53304.0
8131,76760.0,"Ankeny city, Iowa",91966.0
8132,39063.0,"Anthon city, Iowa",61970.0
8133,54125.0,"Aplington city, Iowa",63114.0
8134,54773.0,"Arcadia city, Iowa",64023.0
8135,46875.0,"Archer city, Iowa",49272.0
8136,30625.0,"Aredale city, Iowa",37926.0
8137,41250.0,"Arion city, Iowa",48381.0
8138,36458.0,"Arispe city, Iowa",47053.0
8139,41667.0,"Arlington city, Iowa",67056.0
8140,41949.0,"Armstrong city, Iowa",45657.0
8141,44833.0,"Arnolds Park city, Iowa",67278.0
8142,41429.0,"Arthur city, Iowa",49754.0
8143,90781.0,"Asbury city, Iowa",110120.0
8144,49000.0,"Ashton city, Iowa",50840.0
8145,,"Aspinwall city, Iowa",41600.0
8146,61625.0,"Atalissa city, Iowa",65378.0
8147,,"Athelstan CDP, Iowa",
8148,82222.0,"Atkins city, Iowa",87596.0
8149,40290.0,"Atlantic city, Iowa",53089.0
8150,43194.0,"Auburn city, Iowa",55726.0
8151,35227.0,"Audubon city, Iowa",52457.0
8152,59792.0,"Aurelia city, Iowa",65232.0
8153,47500.0,"Aurora city, Iowa",56092.0
8154,51875.0,"Avoca city, Iowa",67977.0
8155,27292.0,"Ayrshire city, Iowa",43587.0
8156,58125.0,"Badger city, Iowa",58851.0
8157,42292.0,"Bagley city, Iowa",45567.0
8158,37813.0,"Baldwin city, Iowa",38574.0
8159,57500.0,"Balltown city, Iowa",59382.0
8160,52794.0,"Bancroft city, Iowa",57889.0
8161,54688.0,"Bankston city, Iowa",85282.0
8162,46042.0,"Barnes City city, Iowa",48927.0
8163,42083.0,"Barnum city, Iowa",48678.0
8164,,"Bartlett CDP, Iowa",
8165,40417.0,"Bassett city, Iowa",54479.0
8166,40804.0,"Batavia city, Iowa",45009.0
8167,41429.0,"Battle Creek city, Iowa",46996.0
8168,53816.0,"Baxter city, Iowa",66237.0
8169,39821.0,"Bayard city, Iowa",45364.0
8170,35357.0,"Beacon city, Iowa",42680.0
8171,,"Beaconsfield city, Iowa",25510.0
8172,58500.0,"Beaman city, Iowa",68725.0
8173,55417.0,"Beaver city, Iowa",58710.0
8174,57917.0,"Beaverdale CDP, Iowa",72995.0
8175,39196.0,"Bedford city, Iowa",49407.0
8176,39856.0,"Belle Plaine city, Iowa",54334.0
8177,44395.0,"Bellevue city, Iowa",58603.0
8178,40734.0,"Belmond city, Iowa",56078.0
8179,53958.0,"Bennett city, Iowa",61611.0
8180,111316.0,"Bentley CDP, Iowa",116750.0
8181,60469.0,"Benton city, Iowa",50536.0
8182,24375.0,"Berkley city, Iowa",43136.0
8183,53125.0,"Bernard city, Iowa",59058.0
8184,88958.0,"Bertram city, Iowa",99699.0
8185,75251.0,"Bettendorf city, Iowa",96235.0
8186,,"Bevington city, Iowa",62350.0
8187,45000.0,"Birmingham city, Iowa",46994.0
8188,52679.0,"Blairsburg city, Iowa",57172.0
8189,52000.0,"Blairstown city, Iowa",62241.0
8190,26250.0,"Blakesburg city, Iowa",34646.0
8191,59167.0,"Blanchard city, Iowa",58283.0
8192,48125.0,"Blencoe city, Iowa",60363.0
8193,32115.0,"Blockton city, Iowa",40670.0
8194,42275.0,"Bloomfield city, Iowa",54623.0
8195,71058.0,"Blue Grass city, Iowa",75705.0
8196,45750.0,"Bode city, Iowa",51287.0
8197,,"Bolan CDP, Iowa",
8198,27353.0,"Bonaparte city, Iowa",38104.0
8199,73073.0,"Bondurant city, Iowa",79093.0
8200,48135.0,"Boone city, Iowa",56237.0
8201,47188.0,"Bouton city, Iowa",67134.0
8202,38125.0,"Boxholm city, Iowa",47504.0
8203,58750.0,"Boyden city, Iowa",62178.0
8204,41250.0,"Braddyville city, Iowa",44652.0
8205,47344.0,"Bradford CDP, Iowa",55060.0
8206,43438.0,"Bradgate city, Iowa",55822.0
8207,41563.0,"Brandon city, Iowa",47081.0
8208,48250.0,"Brayton city, Iowa",47123.0
8209,58750.0,"Breda city, Iowa",66806.0
8210,45556.0,"Bridgewater city, Iowa",47577.0
8211,45781.0,"Brighton city, Iowa",48926.0
8212,35313.0,"Bristow city, Iowa",42758.0
8213,46650.0,"Britt city, Iowa",56020.0
8214,60938.0,"Bronson city, Iowa",65431.0
8215,50331.0,"Brooklyn city, Iowa",58568.0
8216,73125.0,"Brunsville city, Iowa",78950.0
8217,42500.0,"Buckeye city, Iowa",41103.0
8218,31250.0,"Buck Grove city, Iowa",43625.0
8219,46979.0,"Buffalo city, Iowa",54873.0
8220,48393.0,"Buffalo Center city, Iowa",59211.0
8221,,"Burchinal CDP, Iowa",
8222,40381.0,"Burlington city, Iowa",54421.0
8223,76875.0,"Burr Oak CDP, Iowa",73482.0
8224,41250.0,"Burt city, Iowa",59167.0
8225,37500.0,"Bussey city, Iowa",44780.0
8226,57500.0,"Calamus city, Iowa",59769.0
8227,62344.0,"California Junction CDP, Iowa",70500.0
8228,43500.0,"Callender city, Iowa",56914.0
8229,50929.0,"Calmar city, Iowa",54001.0
8230,50000.0,"Calumet city, Iowa",54172.0
8231,53438.0,"Camanche city, Iowa",66897.0
8232,53214.0,"Cambridge city, Iowa",65831.0
8233,35000.0,"Cantril city, Iowa",45359.0
8234,30625.0,"Carbon city, Iowa",29845.0
8235,58299.0,"Carlisle city, Iowa",70018.0
8236,,"Carpenter city, Iowa",48505.0
8237,45170.0,"Carroll city, Iowa",59983.0
8238,55556.0,"Carson city, Iowa",62350.0
8239,57670.0,"Carter Lake city, Iowa",68341.0
8240,49167.0,"Cascade city, Iowa",55088.0
8241,39500.0,"Casey city, Iowa",46185.0
8242,41250.0,"Castalia city, Iowa",49172.0
8243,21000.0,"Castana city, Iowa",29109.0
8244,58544.0,"Cedar Falls city, Iowa",78763.0
8245,55359.0,"Cedar Rapids city, Iowa",71623.0
8246,51875.0,"Center Junction CDP, Iowa",51829.0
8247,83235.0,"Center Point city, Iowa",83522.0
8248,30442.0,"Centerville city, Iowa",45917.0
8249,61641.0,"Central City city, Iowa",60316.0
8250,63000.0,"Centralia city, Iowa",58909.0
8251,47969.0,"Chapin CDP, Iowa",58551.0
8252,42003.0,"Chariton city, Iowa",50327.0
8253,40909.0,"Charles City city, Iowa",51995.0
8254,50417.0,"Charlotte city, Iowa",57602.0
8255,45750.0,"Charter Oak city, Iowa",51199.0
8256,63750.0,"Chatsworth city, Iowa",50877.0
8257,45625.0,"Chelsea city, Iowa",48356.0
8258,42754.0,"Cherokee city, Iowa",50546.0
8259,29375.0,"Chester city, Iowa",39219.0
8260,45417.0,"Chillicothe city, Iowa",55605.0
8261,40278.0,"Churdan city, Iowa",47398.0
8262,33750.0,"Cincinnati city, Iowa",39849.0
8263,56875.0,"Clare city, Iowa",72687.0
8264,45729.0,"Clarence city, Iowa",52500.0
8265,43814.0,"Clarinda city, Iowa",56672.0
8266,38694.0,"Clarion city, Iowa",59136.0
8267,40815.0,"Clarksville city, Iowa",48273.0
8268,50000.0,"Clayton city, Iowa",56400.0
8269,33571.0,"Clearfield city, Iowa",40542.0
8270,51004.0,"Clear Lake city, Iowa",66263.0
8271,41875.0,"Cleghorn city, Iowa",46959.0
8272,59063.0,"Clemons city, Iowa",58298.0
8273,38125.0,"Clermont city, Iowa",51229.0
8274,84531.0,"Climbing Hill CDP, Iowa",73612.0
8275,42497.0,"Clinton city, Iowa",58242.0
8276,53750.0,"Clio city, Iowa",82569.0
8277,90502.0,"Clive city, Iowa",124117.0
8278,40417.0,"Clutier city, Iowa",48969.0
8279,40556.0,"Coalville CDP, Iowa",51654.0
8280,50625.0,"Coburg city, Iowa",50384.0
8281,51029.0,"Coggon city, Iowa",57140.0
8282,47292.0,"Coin city, Iowa",55415.0
8283,52000.0,"Colesburg city, Iowa",54000.0
8284,44821.0,"Colfax city, Iowa",61164.0
8285,28333.0,"College Springs city, Iowa",36484.0
8286,57917.0,"Collins city, Iowa",60757.0
8287,60982.0,"Colo city, Iowa",70939.0
8288,60375.0,"Columbus City city, Iowa",59377.0
8289,49213.0,"Columbus Junction city, Iowa",51571.0
8290,66250.0,"Colwell city, Iowa",58284.0
8291,38125.0,"Conesville city, Iowa",43776.0
8292,44063.0,"Conrad city, Iowa",58499.0
8293,56094.0,"Conroy CDP, Iowa",66696.0
8294,36250.0,"Conway city, Iowa",42678.0
8295,44327.0,"Coon Rapids city, Iowa",61642.0
8296,28750.0,"Coppock city, Iowa",38826.0
8297,60115.0,"Coralville city, Iowa",85783.0
8298,,"Corley CDP, Iowa",
8299,44231.0,"Corning city, Iowa",59400.0
8300,39688.0,"Correctionville city, Iowa",43760.0
8301,37656.0,"Corwith city, Iowa",51542.0
8302,45000.0,"Corydon city, Iowa",57969.0
8303,41875.0,"Cotter city, Iowa",51500.0
8304,49643.0,"Coulter city, Iowa",54496.0
8305,47097.0,"Council Bluffs city, Iowa",59620.0
8306,,"Craig city, Iowa",64986.0
8307,50000.0,"Crawfordsville city, Iowa",55953.0
8308,80000.0,"Crescent city, Iowa",80810.0
8309,44318.0,"Cresco city, Iowa",53012.0
8310,43137.0,"Creston city, Iowa",52350.0
8311,,"Cromwell city, Iowa",64029.0
8312,34712.0,"Crystal Lake city, Iowa",42363.0
8313,27000.0,"Cumberland city, Iowa",40454.0
8314,116875.0,"Cumming city, Iowa",137144.0
8315,31875.0,"Curlew city, Iowa",41218.0
8316,41250.0,"Cushing city, Iowa",47001.0
8317,60000.0,"Cylinder city, Iowa",80031.0
8318,44615.0,"Dakota City city, Iowa",55973.0
8319,69474.0,"Dallas Center city, Iowa",79374.0
8320,30893.0,"Dana city, Iowa",41086.0
8321,49250.0,"Danbury city, Iowa",56208.0
8322,49821.0,"Danville city, Iowa",60678.0
8323,48191.0,"Davenport city, Iowa",61794.0
8324,27083.0,"Davis City city, Iowa",37459.0
8325,36591.0,"Dawson city, Iowa",60744.0
8326,38750.0,"Dayton city, Iowa",49230.0
8327,42813.0,"Decatur City city, Iowa",44582.0
8328,52912.0,"Decorah city, Iowa",63386.0
8329,51667.0,"Dedham city, Iowa",61855.0
8330,36563.0,"Deep River city, Iowa",39672.0
8331,40625.0,"Defiance city, Iowa",47719.0
8332,50536.0,"Delaware city, Iowa",57432.0
8333,55417.0,"Delhi city, Iowa",59088.0
8334,56071.0,"Delmar city, Iowa",64627.0
8335,33889.0,"Deloit city, Iowa",37424.0
8336,,"Delphos city, Iowa",15690.0
8337,19000.0,"Delta city, Iowa",30611.0
8338,47465.0,"Denison city, Iowa",82807.0
8339,36458.0,"Denmark CDP, Iowa",46177.0
8340,60391.0,"Denver city, Iowa",75980.0
8341,37083.0,"Derby city, Iowa",47557.0
8342,48088.0,"Des Moines city, Iowa",62485.0
8343,56850.0,"De Soto city, Iowa",69240.0
8344,52731.0,"De Witt city, Iowa",65258.0
8345,63068.0,"Dexter city, Iowa",65899.0
8346,41964.0,"Diagonal city, Iowa",51816.0
8347,89327.0,"Diamondhead Lake CDP, Iowa",163501.0
8348,47500.0,"Dickens city, Iowa",57540.0
8349,76250.0,"Dike city, Iowa",106039.0
8350,47273.0,"Dixon city, Iowa",61298.0
8351,52500.0,"Dolliver city, Iowa",56338.0
8352,78333.0,"Donahue city, Iowa",85999.0
8353,41667.0,"Donnellson city, Iowa",53355.0
8354,46146.0,"Doon city, Iowa",53346.0
8355,38864.0,"Douds CDP, Iowa",41205.0
8356,49688.0,"Dougherty city, Iowa",51219.0
8357,34167.0,"Dow City city, Iowa",39759.0
8358,31250.0,"Dows city, Iowa",41585.0
8359,36250.0,"Drakesville city, Iowa",46292.0
8360,48021.0,"Dubuque city, Iowa",60266.0
8361,44625.0,"Dumont city, Iowa",52913.0
8362,,"Duncan CDP, Iowa",
8363,37188.0,"Duncombe city, Iowa",46929.0
8364,39286.0,"Dundee city, Iowa",49284.0
8365,55625.0,"Dunkerton city, Iowa",70826.0
8366,47368.0,"Dunlap city, Iowa",55981.0
8367,33750.0,"Durango city, Iowa",42138.0
8368,61435.0,"Durant city, Iowa",72979.0
8369,54766.0,"Dyersville city, Iowa",61533.0
8370,60682.0,"Dysart city, Iowa",67665.0
8371,45125.0,"Eagle Grove city, Iowa",58680.0
8372,65893.0,"Earlham city, Iowa",74098.0
8373,50417.0,"Earling city, Iowa",79354.0
8374,62500.0,"Earlville city, Iowa",61197.0
8375,39712.0,"Early city, Iowa",45933.0
8376,,"East Amana CDP, Iowa",
8377,33125.0,"East Peru city, Iowa",43597.0
8378,46713.0,"Eddyville city, Iowa",56542.0
8379,47308.0,"Edgewood city, Iowa",50378.0
8380,48750.0,"Elberon city, Iowa",52962.0
8381,32260.0,"Eldon city, Iowa",40945.0
8382,48519.0,"Eldora city, Iowa",57056.0
8383,66078.0,"Eldridge city, Iowa",80419.0
8384,48750.0,"Elgin city, Iowa",54324.0
8385,45000.0,"Elkader city, Iowa",60096.0
8386,49758.0,"Elkhart city, Iowa",61478.0
8387,55750.0,"Elk Horn city, Iowa",66197.0
8388,25000.0,"Elkport city, Iowa",25367.0
8389,54583.0,"Elk Run Heights city, Iowa",60967.0
8390,50625.0,"Elliott city, Iowa",53009.0
8391,53125.0,"Ellston city, Iowa",54665.0
8392,53750.0,"Ellsworth city, Iowa",64514.0
8393,37614.0,"Elma city, Iowa",54766.0
8394,95804.0,"Ely city, Iowa",94671.0
8395,52014.0,"Emerson city, Iowa",62205.0
8396,44672.0,"Emmetsburg city, Iowa",62560.0
8397,70526.0,"Epworth city, Iowa",71267.0
8398,50875.0,"Essex city, Iowa",55551.0
8399,42691.0,"Estherville city, Iowa",64252.0
8400,44984.0,"Evansdale city, Iowa",53248.0
8401,56563.0,"Everly city, Iowa",57822.0
8402,39444.0,"Exira city, Iowa",45700.0
8403,28125.0,"Exline city, Iowa",38006.0
8404,59545.0,"Fairbank city, Iowa",77506.0
8405,91964.0,"Fairfax city, Iowa",97789.0
8406,38906.0,"Fairfield city, Iowa",51533.0
8407,78333.0,"Farley city, Iowa",93195.0
8408,42500.0,"Farmersburg city, Iowa",47425.0
8409,37250.0,"Farmington city, Iowa",49147.0
8410,39125.0,"Farnhamville city, Iowa",51018.0
8411,44167.0,"Farragut city, Iowa",50231.0
8412,28125.0,"Fayette city, Iowa",66136.0
8413,37083.0,"Fenton city, Iowa",62649.0
8414,43500.0,"Ferguson city, Iowa",45037.0
8415,39861.0,"Fertile city, Iowa",54104.0
8416,46875.0,"Floris city, Iowa",55578.0
8417,50417.0,"Floyd city, Iowa",54350.0
8418,39583.0,"Fonda city, Iowa",41487.0
8419,37063.0,"Fontanelle city, Iowa",47461.0
8420,49309.0,"Forest City city, Iowa",61264.0
8421,44375.0,"Fort Atkinson city, Iowa",55966.0
8422,38658.0,"Fort Dodge city, Iowa",53625.0
8423,42448.0,"Fort Madison city, Iowa",52793.0
8424,63250.0,"Fostoria city, Iowa",61818.0
8425,53750.0,"Franklin city, Iowa",57112.0
8426,76250.0,"Fraser city, Iowa",103366.0
8427,37083.0,"Fredericksburg city, Iowa",44866.0
8428,44219.0,"Frederika city, Iowa",61119.0
8429,44722.0,"Fredonia city, Iowa",49864.0
8430,44514.0,"Fremont city, Iowa",52632.0
8431,75417.0,"Fruitland city, Iowa",79121.0
8432,,"Frytown CDP, Iowa",
8433,101000.0,"Galt city, Iowa",94486.0
8434,43542.0,"Galva city, Iowa",51292.0
8435,48750.0,"Garber city, Iowa",52593.0
8436,,"Garden City CDP, Iowa",90750.0
8437,30833.0,"Garden Grove city, Iowa",41176.0
8438,39688.0,"Garnavillo city, Iowa",53321.0
8439,59207.0,"Garner city, Iowa",72515.0
8440,50000.0,"Garrison city, Iowa",56860.0
8441,47426.0,"Garwin city, Iowa",59735.0
8442,34583.0,"Geneva city, Iowa",41369.0
8443,49417.0,"George city, Iowa",54462.0
8444,36250.0,"Gibson city, Iowa",42027.0
8445,87917.0,"Gilbert city, Iowa",88283.0
8446,52417.0,"Gilbertville city, Iowa",56375.0
8447,23214.0,"Gillett Grove city, Iowa",26245.0
8448,50833.0,"Gilman city, Iowa",58671.0
8449,38250.0,"Gilmore City city, Iowa",46027.0
8450,50357.0,"Gladbrook city, Iowa",56401.0
8451,57148.0,"Glenwood city, Iowa",65829.0
8452,64688.0,"Glidden city, Iowa",64379.0
8453,40455.0,"Goldfield city, Iowa",49050.0
8454,29250.0,"Goodell city, Iowa",36525.0
8455,61250.0,"Goose Lake city, Iowa",65755.0
8456,39643.0,"Gowrie city, Iowa",55575.0
8457,40667.0,"Graettinger city, Iowa",45321.0
8458,61458.0,"Graf city, Iowa",99997.0
8459,35000.0,"Grafton city, Iowa",49611.0
8460,45556.0,"Grand Junction city, Iowa",51326.0
8461,60625.0,"Grand Mound city, Iowa",66082.0
8462,27500.0,"Grand River city, Iowa",40426.0
8463,47250.0,"Grandview city, Iowa",58849.0
8464,72222.0,"Granger city, Iowa",80585.0
8465,27361.0,"Grant city, Iowa",41076.0
8466,58125.0,"Granville city, Iowa",59786.0
8467,35000.0,"Gravity city, Iowa",40800.0
8468,79167.0,"Gray city, Iowa",87409.0
8469,46591.0,"Greeley city, Iowa",51696.0
8470,43750.0,"Greene city, Iowa",64363.0
8471,43832.0,"Greenfield city, Iowa",56461.0
8472,46875.0,"Green Mountain CDP, Iowa",56175.0
8473,41250.0,"Greenville city, Iowa",46459.0
8474,83125.0,"Grimes city, Iowa",94711.0
8475,45948.0,"Grinnell city, Iowa",62689.0
8476,44615.0,"Griswold city, Iowa",52822.0
8477,52625.0,"Grundy Center city, Iowa",65050.0
8478,45000.0,"Gruver city, Iowa",48318.0
8479,38125.0,"Guernsey city, Iowa",48749.0
8480,38235.0,"Guthrie Center city, Iowa",53340.0
8481,37905.0,"Guttenberg city, Iowa",51077.0
8482,59688.0,"Halbur city, Iowa",63212.0
8483,35391.0,"Hamburg city, Iowa",44652.0
8484,35208.0,"Hamilton city, Iowa",37039.0
8485,42089.0,"Hampton city, Iowa",55990.0
8486,51875.0,"Hancock city, Iowa",62025.0
8487,56875.0,"Hanlontown city, Iowa",61663.0
8488,47500.0,"Hansell city, Iowa",59991.0
8489,51563.0,"Harcourt city, Iowa",59988.0
8490,29107.0,"Hardy city, Iowa",40735.0
8491,43958.0,"Harlan city, Iowa",58022.0
8492,60833.0,"Harper city, Iowa",62617.0
8493,42500.0,"Harpers Ferry city, Iowa",49702.0
8494,33333.0,"Harris city, Iowa",42419.0
8495,55000.0,"Hartford city, Iowa",62680.0
8496,42731.0,"Hartley city, Iowa",55254.0
8497,68750.0,"Hartwick city, Iowa",72551.0
8498,48594.0,"Harvey city, Iowa",67261.0
8499,35417.0,"Hastings city, Iowa",41510.0
8500,29750.0,"Havelock city, Iowa",34072.0
8501,70833.0,"Haverhill city, Iowa",70244.0
8502,45353.0,"Hawarden city, Iowa",51411.0
8503,45000.0,"Hawkeye city, Iowa",49422.0
8504,34167.0,"Hayesville city, Iowa",40940.0
8505,,"Hayfield CDP, Iowa",
8506,39375.0,"Hazleton city, Iowa",42613.0
8507,28571.0,"Hedrick city, Iowa",39090.0
8508,49375.0,"Henderson city, Iowa",56861.0
8509,54375.0,"Hepburn city, Iowa",54008.0
8510,43713.0,"Hiawatha city, Iowa",60824.0
8511,42019.0,"High Amana CDP, Iowa",87617.0
8512,49205.0,"Hills city, Iowa",58523.0
8513,25000.0,"Hillsboro city, Iowa",36648.0
8514,65000.0,"Hinton city, Iowa",82495.0
8515,60938.0,"Holiday Lake CDP, Iowa",74152.0
8516,51875.0,"Holland city, Iowa",55935.0
8517,51927.0,"Holstein city, Iowa",68861.0
8518,60417.0,"Holy Cross city, Iowa",64987.0
8519,48966.0,"Homestead CDP, Iowa",55848.0
8520,44250.0,"Hopkinton city, Iowa",49172.0
8521,56250.0,"Hornick city, Iowa",63618.0
8522,55625.0,"Hospers city, Iowa",63252.0
8523,70313.0,"Houghton city, Iowa",67914.0
8524,52159.0,"Hubbard city, Iowa",63721.0
8525,83036.0,"Hudson city, Iowa",90929.0
8526,55446.0,"Hull city, Iowa",63318.0
8527,44276.0,"Humboldt city, Iowa",60258.0
8528,43500.0,"Humeston city, Iowa",47153.0
8529,,"Hutchins CDP, Iowa",
8530,65471.0,"Huxley city, Iowa",78564.0
8531,41116.0,"Ida Grove city, Iowa",63556.0
8532,,"Imogene city, Iowa",45659.0
8533,45313.0,"Independence city, Iowa",61323.0
8534,51414.0,"Indianola city, Iowa",65871.0
8535,48125.0,"Inwood city, Iowa",56483.0
8536,48750.0,"Ionia city, Iowa",58469.0
8537,42720.0,"Iowa City city, Iowa",65446.0
8538,48722.0,"Iowa Falls city, Iowa",62885.0
8539,51250.0,"Ireton city, Iowa",75345.0
8540,,"Irvington CDP, Iowa",
8541,38750.0,"Irwin city, Iowa",45414.0
8542,76875.0,"Jackson Junction city, Iowa",100937.0
8543,,"Jacksonville CDP, Iowa",
8544,40125.0,"Jamaica city, Iowa",52404.0
8545,55852.0,"Janesville city, Iowa",65409.0
8546,43333.0,"Jefferson city, Iowa",57094.0
8547,58269.0,"Jesup city, Iowa",80316.0
8548,60234.0,"Jewell Junction city, Iowa",66836.0
8549,95565.0,"Johnston city, Iowa",116063.0
8550,37500.0,"Joice city, Iowa",54493.0
8551,28750.0,"Jolley city, Iowa",36520.0
8552,48077.0,"Kalona city, Iowa",58840.0
8553,38000.0,"Kamrar city, Iowa",42478.0
8554,40625.0,"Kanawha city, Iowa",57703.0
8555,36875.0,"Kellerton city, Iowa",45098.0
8556,73750.0,"Kelley city, Iowa",76050.0
8557,49938.0,"Kellogg city, Iowa",55974.0
8558,28333.0,"Kensett city, Iowa",38290.0
8559,,"Kent CDP, Iowa",
8560,34847.0,"Keokuk city, Iowa",45451.0
8561,71250.0,"Keomah Village city, Iowa",66564.0
8562,43548.0,"Keosauqua city, Iowa",58812.0
8563,42778.0,"Keota city, Iowa",49181.0
8564,44750.0,"Keswick city, Iowa",64999.0
8565,55795.0,"Keystone city, Iowa",60876.0
8566,37000.0,"Kimballton city, Iowa",45619.0
8567,64286.0,"Kingsley city, Iowa",73152.0
8568,41429.0,"Kinross city, Iowa",43223.0
8569,41250.0,"Kirkman city, Iowa",43957.0
8570,45250.0,"Kirkville city, Iowa",49465.0
8571,35250.0,"Kiron city, Iowa",43830.0
8572,46591.0,"Klemme city, Iowa",46233.0
8573,46250.0,"Knierim city, Iowa",52246.0
8574,41727.0,"Knoxville city, Iowa",51470.0
8575,41667.0,"Lacona city, Iowa",48069.0
8576,44688.0,"Ladora city, Iowa",88969.0
8577,41350.0,"Lake City city, Iowa",54203.0
8578,43750.0,"Lake Mills city, Iowa",55089.0
8579,63482.0,"Lake Panorama CDP, Iowa",97844.0
8580,58472.0,"Lake Park city, Iowa",70429.0
8581,70521.0,"Lakeside city, Iowa",78189.0
8582,48646.0,"Lake View city, Iowa",59974.0
8583,33125.0,"Lakota city, Iowa",45817.0
8584,65313.0,"Lambs Grove city, Iowa",76265.0
8585,33393.0,"Lamoni city, Iowa",50556.0
8586,41375.0,"Lamont city, Iowa",47631.0
8587,60625.0,"La Motte city, Iowa",63996.0
8588,36250.0,"Lanesboro city, Iowa",47829.0
8589,42500.0,"Lansing city, Iowa",55316.0
8590,51047.0,"La Porte City city, Iowa",63073.0
8591,54643.0,"Larchwood city, Iowa",64341.0
8592,39625.0,"Larrabee city, Iowa",45697.0
8593,33438.0,"Latimer city, Iowa",45715.0
8594,45208.0,"Laurel city, Iowa",50635.0
8595,46667.0,"Laurens city, Iowa",64643.0
8596,48750.0,"Lawler city, Iowa",53212.0
8597,68750.0,"Lawton city, Iowa",77031.0
8598,,"Leando CDP, Iowa",
8599,80580.0,"Le Claire city, Iowa",120752.0
8600,33125.0,"Ledyard city, Iowa",48640.0
8601,51750.0,"Le Grand city, Iowa",59821.0
8602,35278.0,"Lehigh city, Iowa",43701.0
8603,48500.0,"Leighton city, Iowa",54591.0
8604,45208.0,"Leland city, Iowa",74379.0
8605,56851.0,"Le Mars city, Iowa",65109.0
8606,36313.0,"Lenox city, Iowa",50835.0
8607,37083.0,"Leon city, Iowa",50949.0
8608,,"Le Roy city, Iowa",
8609,71250.0,"Lester city, Iowa",107774.0
8610,55625.0,"Letts city, Iowa",57010.0
8611,44688.0,"Lewis city, Iowa",47800.0
8612,58864.0,"Libertyville city, Iowa",61628.0
8613,45417.0,"Lidderdale city, Iowa",49617.0
8614,47188.0,"Lime Springs city, Iowa",52639.0
8615,27500.0,"Lincoln city, Iowa",42453.0
8616,37375.0,"Linden city, Iowa",60909.0
8617,35208.0,"Lineville city, Iowa",39837.0
8618,35833.0,"Linn Grove city, Iowa",44900.0
8619,56382.0,"Lisbon city, Iowa",68367.0
8620,44531.0,"Liscomb city, Iowa",63862.0
8621,,"Little Cedar CDP, Iowa",
8622,51250.0,"Little Rock city, Iowa",57172.0
8623,35625.0,"Little Sioux city, Iowa",40834.0
8624,53500.0,"Livermore city, Iowa",71461.0
8625,47083.0,"Lockridge city, Iowa",53999.0
8626,58688.0,"Logan city, Iowa",64063.0
8627,45833.0,"Lohrville city, Iowa",54940.0
8628,66250.0,"Lone Rock city, Iowa",75564.0
8629,61382.0,"Lone Tree city, Iowa",64311.0
8630,108889.0,"Long Grove city, Iowa",105906.0
8631,37500.0,"Lorimor city, Iowa",38552.0
8632,48750.0,"Lost Nation city, Iowa",55935.0
8633,,"Loveland CDP, Iowa",
8634,40750.0,"Lovilia city, Iowa",44949.0
8635,48875.0,"Lowden city, Iowa",53969.0
8636,46458.0,"Low Moor city, Iowa",59008.0
8637,46250.0,"Luana city, Iowa",54489.0
8638,51250.0,"Lucas city, Iowa",61454.0
8639,68750.0,"Luther city, Iowa",73405.0
8640,40000.0,"Lu Verne city, Iowa",51638.0
8641,46875.0,"Luxemburg city, Iowa",51224.0
8642,68750.0,"Luzerne city, Iowa",59920.0
8643,60417.0,"Lynnville city, Iowa",59593.0
