,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
124,19000.0,"Cullomburg CDP, Alabama",37962.0
125,36389.0,"Cusseta town, Alabama",49452.0
126,30094.0,"Dadeville city, Alabama",48105.0
127,41235.0,"Daleville city, Alabama",46505.0
128,61508.0,"Daphne city, Alabama",78028.0
129,68750.0,"Dauphin Island town, Alabama",83430.0
130,46250.0,"Daviston town, Alabama",56881.0
131,,"Dayton town, Alabama",34144.0
132,77333.0,"Deatsville town, Alabama",81030.0
133,42602.0,"Decatur city, Alabama",59313.0
134,,"Deer Park CDP, Alabama",47940.0
135,,"Delta CDP, Alabama",78246.0
136,25942.0,"Demopolis city, Alabama",42708.0
137,27083.0,"Detroit town, Alabama",33274.0
138,36016.0,"Dodge City town, Alabama",45286.0
139,41197.0,"Dora city, Alabama",65306.0
140,42569.0,"Dothan city, Alabama",63282.0
141,23000.0,"Double Springs town, Alabama",38591.0
142,34375.0,"Douglas town, Alabama",47432.0
143,21635.0,"Dozier town, Alabama",28366.0
144,44286.0,"Dunnavant CDP, Alabama",67224.0
145,47500.0,"Dutton town, Alabama",59277.0
146,26968.0,"East Brewton city, Alabama",37011.0
147,47333.0,"East Point CDP, Alabama",61663.0
148,44375.0,"Eclectic town, Alabama",55374.0
149,29028.0,"Edgewater CDP, Alabama",32394.0
150,41406.0,"Edwardsville town, Alabama",48194.0
151,55366.0,"Egypt CDP, Alabama",50814.0
152,25654.0,"Elba city, Alabama",41840.0
153,30750.0,"Elberta town, Alabama",44255.0
154,,"Eldridge town, Alabama",37820.0
155,47500.0,"Elkmont town, Alabama",57141.0
156,35125.0,"Elmore town, Alabama",46065.0
157,41250.0,"Emelle town, Alabama",50567.0
158,90043.0,"Emerald Mountain CDP, Alabama",120010.0
159,54217.0,"Enterprise city, Alabama",69089.0
160,21875.0,"Epes town, Alabama",28091.0
161,36000.0,"Ethelsville town, Alabama",36919.0
162,33362.0,"Eufaula city, Alabama",47532.0
163,41835.0,"Eunola CDP, Alabama",48099.0
164,25697.0,"Eutaw town, Alabama",36181.0
165,50625.0,"Eva town, Alabama",63151.0
166,17700.0,"Evergreen city, Alabama",30030.0
167,36875.0,"Excel town, Alabama",44716.0
168,32723.0,"Fairfield city, Alabama",42598.0
169,34803.0,"Fairford CDP, Alabama",33947.0
170,61723.0,"Fairhope city, Alabama",93338.0
171,38000.0,"Fairview town, Alabama",45374.0
172,36920.0,"Falkville town, Alabama",44712.0
173,31250.0,"Faunsdale town, Alabama",55552.0
174,28846.0,"Fayette city, Alabama",40963.0
175,42500.0,"Fayetteville CDP, Alabama",58085.0
176,,"Fitzpatrick CDP, Alabama",36178.0
177,35625.0,"Five Points town, Alabama",61015.0
178,23548.0,"Flomaton town, Alabama",37029.0
179,26017.0,"Florala town, Alabama",35745.0
180,37058.0,"Florence city, Alabama",50754.0
181,42172.0,"Foley city, Alabama",54786.0
182,49565.0,"Forestdale CDP, Alabama",60264.0
183,28110.0,"Forkland town, Alabama",32214.0
184,24167.0,"Fort Deposit town, Alabama",35088.0
185,38445.0,"Fort Payne city, Alabama",49501.0
186,58424.0,"Fort Rucker CDP, Alabama",65416.0
187,46250.0,"Franklin town, Alabama",53898.0
188,58750.0,"Fredonia CDP, Alabama",89948.0
189,17731.0,"Frisco City town, Alabama",32772.0
190,59545.0,"Fruitdale CDP, Alabama",58185.0
191,40625.0,"Fruithurst town, Alabama",50950.0
192,27188.0,"Fulton town, Alabama",31405.0
193,54273.0,"Fultondale city, Alabama",61579.0
194,46080.0,"Fyffe town, Alabama",54595.0
195,30496.0,"Gadsden city, Alabama",44215.0
196,22500.0,"Gainesville town, Alabama",52250.0
197,63897.0,"Gallant CDP, Alabama",58965.0
198,49375.0,"Gantt town, Alabama",63093.0
199,31136.0,"Garden City town, Alabama",36870.0
200,62668.0,"Gardendale city, Alabama",76623.0
201,26875.0,"Gaylesville town, Alabama",35111.0
202,44583.0,"Geiger town, Alabama",46633.0
203,34423.0,"Geneva city, Alabama",47751.0
204,19920.0,"Georgiana town, Alabama",28453.0
205,38990.0,"Geraldine town, Alabama",57359.0
206,21750.0,"Gilbertown town, Alabama",36538.0
207,25511.0,"Glen Allen town, Alabama",34068.0
208,48860.0,"Glencoe city, Alabama",57307.0
